SampleID	Population	STD_Length	Total_Length	Weight	IncrSums
R1Gen10_805	R1Gen10	69	82.3	3.51	23492.5781419978
R1Gen10_806	R1Gen10	45	53.7	0.83	23604.9796539985
R1Gen10_807	R1Gen10	53	64	1.53	23592.0096409986
R1Gen10_808	R1Gen10	61	74	1.83	23525.4281369982
R1Gen10_809	R1Gen10	62	73	2.69	24891.6475259995
R1Gen10_810	R1Gen10	71	86	3.91	23971.1944569991
R1Gen10_811	R1Gen10	61	73	2.03	24559.0601089985
R1Gen10_812	R1Gen10	72	83	3.02	21231.025581999
R1Gen10_813	R1Gen10	64	80	2.43	24201.8982479992
R1Gen10_814	R1Gen10	58	70	2.16	24232.3756889992
R1Gen10_815	R1Gen10	59	69	2.35	24431.3632179983
R1Gen10_816	R1Gen10	62	71	2.58	24126.4029129989
R1Gen10_817	R1Gen10	53	63	1.13	23547.9410259986
R1Gen10_818	R1Gen10	70	81	2.93	23609.7054229982
R1Gen10_819	R1Gen10	67	81	2.77	23502.952300998
R1Gen10_820	R1Gen10	50	60	1.22	23327.629913998
R1Gen10_821	R1Gen10	58	71	2.18	23541.5224219972
R1Gen10_822	R1Gen10	72	88	4	23515.0597979978
R1Gen10_823	R1Gen10	70	83	4.1	23402.4302239994
R1Gen10_824	R1Gen10	71	84.7	3.8	23575.7952119965
R1Gen10_825	R1Gen10	69	81	3.17	23435.5872699986
R1Gen10_826	R1Gen10	70	79	3.43	23357.2179669989
R1Gen10_827	R1Gen10	54	66	1.66	23564.0793479985
R1Gen10_828	R1Gen10	70	84	3.63	23553.7195089983
R1Gen10_829	R1Gen10	60	72	2.15	23546.2824989986
R1Gen10_830	R1Gen10	54	64	1.7	23472.7209969985
R1Gen10_831	R1Gen10	65	77	2.88	23421.4773319989
R1Gen10_832	R1Gen10	52	61	1.59	23587.2182749988
R1Gen10_833	R1Gen10	56	68	1.85	23539.5907719986
R1Gen10_834	R1Gen10	50	59	1.11	22945.6708839992
R1Gen10_835	R1Gen10	57	67	1.9	23239.1386999991
R1Gen10_836	R1Gen10	52	63	1.11	23498.7281739991
R1Gen10_837	R1Gen10	58	69.2	1.84	23434.9078019977
R1Gen10_838	R1Gen10	62	74	2.23	23232.9891549992
R1Gen10_839	R1Gen10	52	62	1.35	23924.1311019991
R1Gen10_840	R1Gen10	56	67	1.94	23803.7281369993
R2Gen10_1179	R2Gen10	66	78.1	2.71	23329.622555999
R2Gen10_1180	R2Gen10	62	75	2.43	23558.0940399993
R2Gen10_1181	R2Gen10	61	72	1.89	23321.6066759987
R2Gen10_1182	R2Gen10	57	67	1.24	23065.3530189991
R2Gen10_1183	R2Gen10	71	84	2.84	23163.4240159988
R2Gen10_1184	R2Gen10	63	75	2.56	23485.7540299991
R2Gen10_1185	R2Gen10	64	75.7	2.54	23248.7093619991
R2Gen10_1186	R2Gen10	66	77	2.85	23227.531448999
R2Gen10_1187	R2Gen10	68	80	2.71	23003.7540169987
R2Gen10_1188	R2Gen10	57	70	2.11	23264.4560199973
R2Gen10_1189	R2Gen10	69	82	3.13	23340.2302769971
R2Gen10_1190	R2Gen10	62	74	2.32	23468.6696329975
R2Gen10_1191	R2Gen10	58	70	2.33	23273.7666649991
R2Gen10_1192	R2Gen10	65	78	3.17	23550.8952969974
R2Gen10_1193	R2Gen10	71	86	3.34	23838.4249079981
R2Gen10_1194	R2Gen10	60	72	2.42	23294.8454209989
R2Gen10_361	R2Gen10	63	73	2.43	23175.1322279988
R2Gen10_362	R2Gen10	69	80	3.64	23478.853225999
R2Gen10_363	R2Gen10	64	77	4.43	23249.9054619987
R2Gen10_364	R2Gen10	74	87	2.73	23280.5463309992
R2Gen10_365	R2Gen10	67	78	3.93	23744.5194449989
R2Gen10_366	R2Gen10	53	61	1.43	23295.8693889987
R2Gen10_369	R2Gen10	63	73	2.86	23476.6670369987
R2Gen10_370	R2Gen10	52	61.5	1.32	23538.967511999
R2Gen10_371	R2Gen10	61	73	2.18	23368.2187709989
R2Gen10_372	R2Gen10	62	71	2.83	23042.5961259989
R2Gen10_373	R2Gen10	57	67	1.56	23637.7306299992
R2Gen10_375	R2Gen10	69	80	3.53	23324.1883069984
R2Gen10_377	R2Gen10	72	84	4.21	23426.1596749973
R2Gen10_378	R2Gen10	63	74	2.59	22967.7319419991
R2Gen10_379	R2Gen10	67	80	3.26	23380.6705059991
R2Gen10_380	R2Gen10	67	78	3.31	23366.6300989982
R2Gen10_381	R2Gen10	46	54.4	0.8	23115.5818909985
R2Gen10_382	R2Gen10	59	70	1.8	23404.9560189985
R2Gen10_383	R2Gen10	62	74	2.75	23289.4972269991
R2Gen10_385	R2Gen10	59	69	2.21	23286.2912229986
R2Gen10_387	R2Gen10	68	81	3.54	23239.9836869979
R2Gen10_389	R2Gen10	60	70	2.12	23124.7539369984
R2Gen10_390	R2Gen10	64	75	3.01	23202.5155249988
R2Gen10_391	R2Gen10	61	73	2.58	23251.6958609992
R2Gen10_394	R2Gen10	59	71	2.16	23122.5797009991
R2Gen10_398	R2Gen10	65	77	3	23566.2563789969
R2Gen10_399	R2Gen10	62	73.3	3.14	22863.1484149991
R2Gen10_401	R2Gen10	59	71	2.41	23141.0572959989
R2Gen10_402	R2Gen10	62	73.3	2.39	22978.1110149988
R2Gen10_403	R2Gen10	64	76	2.86	23555.9349289982
R2Gen10_404	R2Gen10	56	66.2	2.38	22990.1687689991
R2Gen10_405	R2Gen10	61	72	3.73	23463.622787997
R2Gen10_406	R2Gen10	66	77	3.23	23219.7519379981
R2Gen10_408	R2Gen10	64	77	3.16	23610.5377689991
D1Gen10_1467	D1Gen10	49	60	1.19	28245.8459249998
D1Gen10_1468	D1Gen10	58	68	1.61	27993.1966439997
D1Gen10_1469	D1Gen10	64	75	2.52	28379.9864939998
D1Gen10_1470	D1Gen10	52	61	1.47	25947.0217379971
D1Gen10_1493	D1Gen10	52	70	1.99	28165.2826299993
D1Gen10_1495	D1Gen10	59	71	2.14	28439.2537849997
D1Gen10_1498	D1Gen10	68	72	2.33	28538.9000629996
D1Gen10_745	D1Gen10	58	67	1.15	28368.5778419996
D1Gen10_746	D1Gen10	52	63	0.78	28465.6970119992
D1Gen10_747	D1Gen10	58	69	1.33	28396.4551259997
D1Gen10_750	D1Gen10	56	68	1.27	27429.6897919989
D1Gen10_751	D1Gen10	35	41.5	0.24	27523.4341149993
D1Gen10_752	D1Gen10	68	80.6	2.12	27955.0371659992
D1Gen10_753	D1Gen10	62	70	1.93	27172.6906649989
D1Gen10_754	D1Gen10	52	61	0.93	26775.1770119986
D1Gen10_756	D1Gen10	65	77	2.5	26754.3006709988
D1Gen10_758	D1Gen10	60	69	2.04	25930.8194279974
D1Gen10_759	D1Gen10	55	65	1.41	27702.9958319991
D1Gen10_760	D1Gen10	54	65	1.26	27809.0451229997
D1Gen10_761	D1Gen10	68	80.6	2.81	28329.4708749994
D1Gen10_762	D1Gen10	50	60	1.06	27179.1937649989
D1Gen10_763	D1Gen10	54	63	1.46	27052.1351419986
D1Gen10_764	D1Gen10	57	68	1.43	27645.9495109994
D1Gen10_768	D1Gen10	57	68	2.21	26669.624421998
D1Gen10_769	D1Gen10	48	56	1.1	28054.9869799994
D1Gen10_770	D1Gen10	55	67	1.56	27593.1191489986
D1Gen10_771	D1Gen10	46	55	0.92	26640.2348359982
D1Gen10_772	D1Gen10	62	73.5	2.23	27309.0570059991
D1Gen10_775	D1Gen10	63	72	2.53	26076.6948159974
D1Gen10_777	D1Gen10	54	64	1.38	25874.1420239971
D1Gen10_779	D1Gen10	61	73	2.4	28111.6213709992
D1Gen10_781	D1Gen10	63	74	2.18	25157.7213329961
D1Gen10_783	D1Gen10	60	70	1.97	27741.1834919994
D1Gen10_784	D1Gen10	60	71	2.08	27091.2544379989
D1Gen10_786	D1Gen10	62	72	2.34	27551.183289999
D1Gen10_787	D1Gen10	59	69	1.88	28117.9729189994
D1Gen10_788	D1Gen10	62	73	2.7	25648.2532759975
D1Gen10_789	D1Gen10	48	58	0.97	27013.5826029988
D1Gen10_790	D1Gen10	66	78	2.88	27432.3117309992
D1Gen10_791	D1Gen10	54	64	1.4	26828.8023059984
D1Gen10_792	D1Gen10	55	67	1.83	26693.3040139986
D2Gen10_1168	D2Gen10	46	55	0.71	28304.3966069994
D2Gen10_1169	D2Gen10	48	56.6	0.95	28903.8527709995
D2Gen10_1170	D2Gen10	49	56	1.25	27708.9709989992
D2Gen10_1171	D2Gen10	50	57	1.32	28941.5877469992
D2Gen10_1172	D2Gen10	49	59	0.95	29027.3464879993
D2Gen10_1173	D2Gen10	64	74	2.83	26852.9111589983
D2Gen10_1175	D2Gen10	51	59	0.62	28576.0238979993
D2Gen10_1176	D2Gen10	54	64	1.43	27533.3361229981
D2Gen10_1178	D2Gen10	50	59	0.97	27818.7217679987
D2Gen10_409	D2Gen10	57	68	1.26	26525.0786499977
D2Gen10_410	D2Gen10	58	67	1.47	28890.0794529994
D2Gen10_411	D2Gen10	52	63	1.52	28474.7599559992
D2Gen10_412	D2Gen10	52	61.4	1.26	27448.4421799985
D2Gen10_413	D2Gen10	53	62	1.43	28876.4345009994
D2Gen10_414	D2Gen10	53	63	1.49	29012.4536709992
D2Gen10_416	D2Gen10	53	62	1.43	28249.1518639993
D2Gen10_417	D2Gen10	62	74	2.5	27070.6398569982
D2Gen10_418	D2Gen10	56	66	1.84	28492.0099429995
D2Gen10_419	D2Gen10	42	49.6	0.42	28184.537327999
D2Gen10_421	D2Gen10	65	77	2.75	28949.3450339994
D2Gen10_422	D2Gen10	64	72	2.24	28088.5540919991
D2Gen10_424	D2Gen10	54	65	1.44	27309.1790149984
D2Gen10_426	D2Gen10	51	63	1.6	27316.5622319984
D2Gen10_427	D2Gen10	60	70	2.16	28738.2285619995
D2Gen10_428	D2Gen10	58	70	2.13	30301.0152289997
D2Gen10_429	D2Gen10	54	63.7	0.88	27745.8607239985
D2Gen10_430	D2Gen10	50	58	1.06	28096.2935449991
D2Gen10_431	D2Gen10	64	75.5	2.56	28414.271670999
D2Gen10_432	D2Gen10	58	70	2.26	28581.2914359996
D2Gen10_433	D2Gen10	52	61	1.02	28335.3650659995
D2Gen10_434	D2Gen10	61	74	1.62	27805.0293919985
D2Gen10_435	D2Gen10	55	63	1.05	28682.8433589991
D2Gen10_436	D2Gen10	68	79	3.31	28019.792579999
D2Gen10_437	D2Gen10	64	76	2.37	28849.4997479994
D2Gen10_438	D2Gen10	60	71	1.82	27783.5718409986
D2Gen10_439	D2Gen10	57	67	1.67	27166.6272009983
D2Gen10_440	D2Gen10	49	57.8	0.66	28851.8434299994
D2Gen10_441	D2Gen10	60	70	2.63	27682.8175059989
D2Gen10_442	D2Gen10	41	48.4	0.63	28589.1742779992
D2Gen10_443	D2Gen10	60	72	2.1	29108.8413139995
D2Gen10_444	D2Gen10	60	71	2.14	28806.4071729993
D2Gen10_446	D2Gen10	43	52	0.67	29226.6538619996
D2Gen10_447	D2Gen10	48	57	0.97	28179.5087339987
D2Gen10_448	D2Gen10	65	80	2.83	28549.912899999
D2Gen10_449	D2Gen10	57	67.3	1.36	27671.3255389987
D2Gen10_451	D2Gen10	61	72	2.16	28430.5413859996
D2Gen10_453	D2Gen10	51	60	1.35	28104.8567779987
D2Gen10_456	D2Gen10	68	79	2.6	28639.429009999
